query_id,category,question,expected_answer,generated_answer,response_time(sec),retrieved_source_count,retrieved_sources
11,Symptoms,Why do Parkinson's patients shuffle while walking?,"Shuffling gait occurs because Parkinson's disease reduces movement amplitude, causes muscle rigidity, and impairs balance and gait control.","People with Parkinson's disease experience a reduction in their automatic movements, which can cause their feet to begin to shuffle.",3.24,5,data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\Practical-Pointers-Guide-2026.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\Practical-Pointers-Guide-2026.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf
12,Symptoms,Can Parkinson's disease cause balance problems?,"Yes. Impaired postural reflexes and reduced balance increase the risk of falls, especially in later stages of the disease.","Yes, walking and balance problems are common in people with Parkinson's disease (PD). People with Parkinson's disease classically present with symptoms including postural instability (loss of balance). Limitations in changing and maintaining body position (balance) develop due to progressively impaired postural reflexes. Balance difficulties are also listed as a cause of falls in people with Parkinson's.",2.98,5,data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pone.0293826_progression.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf
13,Symptoms,Does Parkinson's disease affect facial expressions?,"Yes. Reduced facial movement, known as masked facies or hypomimia, is a common symptom of Parkinson's disease.","Yes, Parkinson's disease (PD) does affect facial expressions. People with PD may show fewer facial expressions, which is known as ""masked face"" or hypomimia. This can make it hard for others to interpret their mood and expressions.",2.37,5,data\Parkinson_Disease\foundation_resources\patient_education_fr\mood.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Speech and Swallowing June 2025.pdf | data\Parkinson_Disease\patient_education\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf | data\Parkinson_Disease\guidelines\NINDS-NIH\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\mood.pdf
14,Symptoms,Can Parkinson's disease cause fatigue?,"Yes. Fatigue is a common non-motor symptom that may result from the disease process, sleep disturbances, or medication effects.","Yes, Parkinson's disease can cause fatigue. This fatigue can be due to depression or sleep problems, or it can be related to muscle problems such as difficulty with moving, tremors, or stiffness. Some medications used to treat PD may also cause tiredness. Fatigue is also recognized as one of the neuropsychiatric manifestations of Parkinson's disease.",2.25,5,data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\sleep.pdf | data\Parkinson_Disease\guidelines\NINDS-NIH\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf | data\Parkinson_Disease\patient_education\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf
15,Symptoms,Why do Parkinson's patients have slow movements?,"Slow movements occur because dopamine-producing neurons degenerate, reducing the brain's ability to initiate and coordinate voluntary movements.","Parkinson's patients have slow movements because they have difficulty regulating the speed of their movements, which are described as bradykinetic (too slow). This occurs because Parkinson's disrupts brain networks that control movement, and changes in the movement system (muscles) lead to challenges controlling movements.",4.0,5,data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\guidelines\WHO\Parkinson disease WEB.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf
16,Symptoms,Can Parkinson's disease cause loss of smell?,Yes. Loss of smell (hyposmia or anosmia) is often an early non-motor symptom that may appear years before motor symptoms.,"Yes, Parkinson's disease can cause loss of smell. Smell loss (hyposmia or anosmia) is a non-motor symptom commonly experienced by patients, sometimes preceding the onset of classic motor symptoms by years or even decades. Hyposmia or anosmia have been consistent findings in about 90% of patients with Parkinson's disease and are listed as one of four supportive criteria for a Parkinson's disease diagnosis by the MDS criteria. Research has consistently demonstrated abnormalities in odor discrimination, detection threshold, and identification in Parkinson's disease patients.",2.92,5,data\Parkinson_Disease\research_papers\diagnosis\nihms-1697463_biomarkers.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1697463_genetics.pdf | data\Parkinson_Disease\research_papers\diagnosis\nihms-1697463_biomarkers.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1697463_genetics.pdf | data\Parkinson_Disease\research_papers\diagnosis\10-1055-s-0043-1777775.pdf
17,Symptoms,Does Parkinson's disease affect posture?,"Yes. Parkinson's disease commonly causes a stooped posture due to muscle rigidity, impaired balance, and reduced postural control.","Yes, Parkinson's disease (PD) can affect posture. Changes in posture, such as stooped posture or rounded shoulders, are noted. Rigidity of the neck and trunk (axial rigidity) may occur, leading to abnormal axial postures like antecollis and scoliosis. Postural deformities, including flexed neck and trunk posture and flexed elbows and knees, are often associated with rigidity, typically occurring late in the disease.",2.51,5,data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf
18,Symptoms,Can Parkinson's disease cause muscle cramps?,"Yes. Muscle cramps and painful muscle contractions can occur because of rigidity, dystonia, or medication fluctuations.","Yes, Parkinson's disease can cause muscle cramps.",1.97,5,data\Parkinson_Disease\patient_education\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf | data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\patient_education\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf | data\Parkinson_Disease\guidelines\NINDS-NIH\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf | data\Parkinson_Disease\patient_education\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf
19,Symptoms,Why do Parkinson's patients experience rigidity?,"Rigidity develops because dopamine deficiency disrupts normal muscle control, causing continuous muscle stiffness and resistance to passive movement.",I could not find sufficient information in the provided documents.,2.08,5,data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf
20,Symptoms,Can Parkinson's disease cause drooling?,Yes. Drooling is common because patients swallow less frequently due to impaired muscle control rather than producing excess saliva.,"Yes, Parkinson's disease can cause drooling (sialorrhea). The context mentions that sialorrhea can be cosmetically disturbing and contribute to functional disability in patients with Parkinson's disease.",2.95,5,data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\guidelines\NICE\Overview _ Parkinson’s disease in adults _ Guidance _ NICE.pdf | data\Parkinson_Disease\patient_education\Parkinson's disease - Treatment - NHS.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\patient_education\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf
21,Diagnosis,How is Parkinson's disease diagnosed?,"Parkinson's disease is diagnosed primarily through clinical evaluation, medical history, neurological examination, and assessment of characteristic motor symptoms. Imaging tests may be used to exclude other conditions.","Parkinson's disease is a clinical diagnosis that relies on a detailed history and thorough examination. Its accuracy improves following a positive response to treatment and a clinical picture of steady symptomatic decline observed in subsequent appointments. Diagnosis can be done through clinical evaluation, with little or no need for ancillary testing, and may be performed in primary care facilities by trained health-care workers, including general practitioners and specialist nurses.",2.15,5,data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf | data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf
22,Diagnosis,Which doctor diagnoses Parkinson's disease?,"Parkinson's disease is usually diagnosed by a neurologist, preferably a movement disorder specialist with expertise in Parkinson's disease.","Parkinson's disease can be diagnosed by general practitioners (GPs), general neurologists, movement disorder specialists, and geriatricians.",3.15,5,data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\patient_education\Parkinson's disease - Diagnosis - NHS.pdf
23,Diagnosis,Is there a blood test for Parkinson's disease?,"No. There is currently no definitive blood test to diagnose Parkinson's disease, although research on blood biomarkers is ongoing.","Researchers are actively trying to develop additional tests, including a biomarker in blood, that could help confirm the diagnosis.",1.67,5,data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf
24,Diagnosis,Can MRI detect Parkinson's disease?,MRI cannot directly diagnose Parkinson's disease but is often used to rule out other neurological conditions that may cause similar symptoms.,"Although there are no specific features on MRI that confirm a Parkinson's Disease (PD) diagnosis, certain features on MRI can suggest that the diagnosis is a parkinsonian syndrome other than PD. MRI can also help rule out other conditions. Brain imaging, including MRI, is not routinely performed when the diagnosis of PD is strongly suggested by symptoms, but it is most helpful when the diagnosis is uncertain.",2.51,5,data\Parkinson_Disease\research_papers\non_motor_symptoms\nihms-1544448.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\research_papers\non_motor_symptoms\nihms-1544448.pdf
25,Diagnosis,What tests are used to diagnose Parkinson's disease?,"Diagnosis involves neurological examination, medical history, assessment of symptoms, response to medication, and sometimes imaging tests such as MRI or DaTscan.","There isn’t a specific, single test that can definitively diagnose Parkinson's disease. Instead, doctors consider:

*   A person’s medical history and a neurological examination to look for problems with movement and other typical PD symptoms.
*   Blood and other laboratory tests to check for other disorders that may be causing symptoms and identify biological signatures called biomarkers that help doctors confirm a diagnosis.
*   The Syn-One Test, which detects variations of alpha-synuclein in small skin samples.
*   The SAAmplify-αSYN test, which detects tiny amounts of alpha-synuclein in spinal fluid.
*   Magnetic resonance imaging (MRI), which examines the structure of the brain, may be utilized in certain situations to help with diagnosis, although there are no specific features on MRI that confirm a PD diagnosis.
*   A clear response to dopamine replacement therapy (e.g., levodopa-carbidopa) can be used to help reinforce an accurate diagnosis.",3.87,5,data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\guidelines\NINDS-NIH\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf
26,Diagnosis,What is the DaTscan test?,DaTscan is a specialized imaging test that evaluates dopamine transporter activity in the brain and helps differentiate Parkinsonian syndromes from other movement disorders.,"DaTscan is an FDA-approved imaging test that helps to visualize the dopamine system in the brain. It scans for the functioning of presynaptic dopamine transporters and visualizes dopamine degeneration in the nigro-striatum in Parkinson's Disease (PD), using ioflupane I 123 injection.

DaTscan appears abnormal in any disease with a loss of dopamine nerve endings in the striatum, meaning it cannot distinguish PD from other parkinsonian disorders that also have this loss. However, it can help differentiate idiopathic PD from essential tremor and may help confirm a Parkinson's diagnosis when there is uncertainty.",3.81,5,data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\research_papers\AI_in_PD\41598_2023_Article_30038.pdf | data\Parkinson_Disease\research_papers\non_motor_symptoms\s44220-026-00669-7.pdf | data\Parkinson_Disease\research_papers\biomarkers\12264_2017_Article_183.pdf
27,Diagnosis,Can Parkinson's disease be diagnosed early?,"Yes. Early diagnosis is possible through careful clinical evaluation, although diagnosis can be challenging before typical motor symptoms become evident.",There are no biomarkers currently available that would enable a confident diagnosis of any of the conceptual phases of 'pre-diagnostic' Parkinson's disease with high sensitivity and specificity. The process leading to clinically defined Parkinson's disease starts much earlier than can be captured by current diagnostic criteria. Future diagnostic algorithms will need to incorporate additional tests and biomarkers to further enhance diagnostic accuracy and sensitivity for early or prodromal disease stages.,23.98,5,data\Parkinson_Disease\research_papers\diagnosis\nihms-1697463_biomarkers.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1697463_genetics.pdf | data\Parkinson_Disease\research_papers\diagnosis\nihms-1697463_biomarkers.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1697463_genetics.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf
28,Diagnosis,What are the diagnostic criteria for Parkinson's disease?,"Diagnosis commonly follows the Movement Disorder Society (MDS) Clinical Diagnostic Criteria, which consider bradykinesia along with tremor or rigidity while excluding alternative diagnoses.",I could not find sufficient information in the provided documents.,4.18,5,data\Parkinson_Disease\research_papers\diagnosis\10-1055-s-0043-1777775.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\research_papers\diagnosis\10-1055-s-0043-1777775.pdf
29,Diagnosis,Can Parkinson's disease be misdiagnosed?,Yes. Parkinson's disease may be misdiagnosed because several neurological disorders have symptoms similar to Parkinsonism.,"Yes, Parkinson's disease can be misdiagnosed. Diagnostic misclassification is common in routine clinical practice, with error rates ranging from 15% to 24%. A meta-analysis found the pooled diagnostic accuracy for clinical diagnosis to be 80.6%. Even when diagnosed by neurologists using stringent criteria, 10% of cases had alternative pathologies. Common errors include non-Parkinson's disease tremor disorders like essential tremor, and different types of secondary parkinsonism.",2.34,5,data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf | data\Parkinson_Disease\research_papers\diagnosis\nihms-1697463_biomarkers.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1697463_genetics.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf
30,Diagnosis,How accurate is Parkinson's disease diagnosis?,"Diagnosis by experienced movement disorder specialists is generally highly accurate, although accuracy is lower during the early stages of the disease.","In routine clinical practice, diagnostic misclassification of Parkinson's disease is common, with error rates ranging from 15% to 24%. A meta-analysis found a pooled diagnostic accuracy for the clinical diagnosis of Parkinson’s disease of only 80.6%. Even with stringent clinical diagnostic criteria, 10% of cases diagnosed by neurologists had alternative pathologies.",2.35,5,data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\research_papers\diagnosis\nihms-1697463_biomarkers.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1697463_genetics.pdf | data\Parkinson_Disease\research_papers\diagnosis\nihms-1697463_biomarkers.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1697463_genetics.pdf
31,Diagnosis,Can CT scans detect Parkinson's disease?,No. CT scans cannot diagnose Parkinson's disease but may help exclude other structural brain abnormalities.,I could not find sufficient information in the provided documents.,4.73,5,data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf
32,Diagnosis,What is the role of neurological examination?,"Neurological examination evaluates movement, muscle tone, reflexes, gait, posture, coordination, and other neurological signs essential for diagnosing Parkinson's disease.","PD diagnosis is determined on the basis of a careful medical history and neurological examination, requiring the essential presence of bradykinesia along with rigidity and/or rest tremor.",1.42,5,data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1907958_genetics.pdf | data\Parkinson_Disease\research_papers\diagnosis\10-1055-s-0043-1777775.pdf
